epoch,train_loss,val_loss
0,2.348332008240816,1.1068304712792982
1,1.085566562758784,1.0582999013321406
2,1.0053515034773661,0.96750995491036
3,0.923529310400021,0.9031668568145599
4,0.8667293349986923,0.8593100324625855
5,0.8287416358065545,0.8307184852035263
6,0.8028081411148812,0.8117304403890193
7,0.784632395957727,0.7973641769499327
8,0.7717006355141189,0.7892648135040788
9,0.7616923042742549,0.781790532567375
10,0.7547771953732338,0.7775654820052007
11,0.7493261165230882,0.7746213960842071
12,0.7448510891875552,0.7711186325767445
13,0.7418002235366138,0.7689180642328267
14,0.7385593175951864,0.7682638471029694
15,0.7363575781055384,0.7654553719594248
16,0.7343585714283047,0.7636580262154393
17,0.7334713056651637,0.7649214963022904
18,0.7320355436595134,0.764012374741788
19,0.7305943498710994,0.7625765647650992
20,0.7300839571613315,0.7627437144651381
21,0.7287784868376683,0.7622884372660389
22,0.7280259962383113,0.7626447419916602
23,0.7273896200817696,0.762995663069792
24,0.7270311694775716,0.7613327314246569
25,0.7264514028898393,0.7613418804897533
26,0.7262080982997546,0.7609232088177924
27,0.7253291056293995,0.7628074814723391
28,0.724876789496594,0.7612805154486797
29,0.7249107922744427,0.7623021606158089
30,0.7241358649998704,0.7644156828398744
31,0.7240095312768952,0.7630472636173269
32,0.7233929255981277,0.7643548319508308
33,0.7187686000122994,0.7613638095266893
34,0.7185181084485824,0.7605643652841898
35,0.7183383528948848,0.7608086207949494
36,0.7186161592889898,0.7617415327981581
37,0.718031510653283,0.760291691800378
38,0.7181528585306846,0.7609065515409265
39,0.7180036078237079,0.7604532868661562
40,0.7176524317302849,0.7601659509686415
41,0.7182475881160479,0.7607771492040628
42,0.7177199792938525,0.761384646593571
43,0.7181395323360765,0.7606131194477582
44,0.7183498650470181,0.7609935282650332
45,0.7178825252954649,0.7609943362454618
46,0.7175843319941391,0.7616079722984593
47,0.7169671568229815,0.7611118719334499
48,0.7174303057553657,0.7610774288860866
49,0.7168425230193688,0.7613241131669495
50,0.7171667920445485,0.7606759014815309
